tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
VIKTOSPEC;KG|KÄRL,FACK;3;;;KG;KÄRL,FACK;;;RULE:Taxa_från_edp:301;240L tvåfackskärl, viktavgift osorterat avfall Okänd Behållarvolym KVAN VIKTOSPEC | 240L tvåfackskärl, viktavgift osorterat avfall | KVAN | Överviktsavgift för vikt över 80 kg, Ospecifiserat avfall | VIKG-60,MIN0
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:190;Hantering av brunnslock som väger 15-25 kg Flerbostad/verksamhet Tillfälle TILLFÄLLE §3.2 | §3.2 | Hantering av brunnslock som väger 15-25 kg |  | kr/tillfälle |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:283;Förorenad olja (ej PCB) Avfallskod 20 01 26* ÅVC/verksamhetsavfall Oljeavfall §6.1.2 | §6.1.2 | Förorenad olja (ej PCB) Avfallskod 20 01 26* | 3295 | Kr/Kg |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:284;Förorenad olja innehållande PCB Avfallskod 13 03 01* ÅVC/verksamhetsavfall Oljeavfall §6.1.2 | §6.1.2 | Förorenad olja innehållande PCB Avfallskod 13 03 01* | 3295 | Kr/Kg |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:285;Bensinrester Avfallskod 13 07 02* ÅVC/verksamhetsavfall §6.1.2 | §6.1.2 | Bensinrester Avfallskod 13 07 02* | 1203 | Kr/Kg |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:286;Diesel Avfallskod 13 07 01* ÅVC/verksamhetsavfall §6.1.2 | §6.1.2 | Diesel Avfallskod 13 07 01* | 1202 | Kr/Kg |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:287;Oljefilter Avfallskod 16 01 07* ÅVC/verksamhetsavfall Oljeavfall §6.1.2 | §6.1.2 | Oljefilter Avfallskod 16 01 07* | 3295 | Kr/Kg |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:288;Färg, lack och lim lösningsbaserat Avfallskod 20 01 27* ÅVC/verksamhetsavfall §6.1.2 | §6.1.2 | Färg, lack och lim lösningsbaserat Avfallskod 20 01 27* | 1263 | Kr/Kg |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:289;Aerosoler, färg, lack och lim Avfallskod 20 01 27* ÅVC/verksamhetsavfall §6.1.2 | §6.1.2 | Aerosoler, färg, lack och lim Avfallskod 20 01 27* | 1950 | Kr/Kg |  |  |  |  |  |  | 
;KG|VERKSAMHET;2;;;KG;;;VERKSAMHET;RULE:Taxepunkter:290;Färg, lack och lim vattenbaserad Avfallskod 20 01 28 ÅVC/verksamhetsavfall §6.1.2 | §6.1.2 | Färg, lack och lim vattenbaserad Avfallskod 20 01 28 |  | Kr/Kg |  |  |  |  |  |  | 
